todo	branch	start_condition	ordinary_pathspecs_json	document_selectors_json	route_registration_hunks_json	commit_order
1	chore/foundation	baseline commit exists	["frontend/**","backend/**","infra/**",".github/workflows/ci.yml","scripts/verify-workflows.sh","scripts/verify-plan-evidence.sh","scripts/test-plan-evidence.sh","scripts/record-plan-evidence.sh","scripts/read-plan-baseline.py","scripts/plan-evidence-contract.tsv","scripts/scan-tracked-secrets.sh","README.md",".gitignore",".gitattributes",".nvmrc"]	[]	[]	1
2	chore/foundation	baseline commit exists	["backend/**"]	[]	[]	2
3	chore/foundation	baseline commit exists	["backend/**"]	[]	[]	3
4	chore/foundation	baseline commit exists	["infra/**","backend/**","frontend/**","scripts/test-compose-resources.sh"]	[]	[]	4
5	chore/foundation	baseline commit exists	["frontend/**"]	[]	[]	5
6	chore/foundation	baseline commit exists	[".github/workflows/ci.yml","scripts/verify-workflows.sh","README.md"]	[]	[]	6
7	feat/security-auth	chore/foundation merged	["backend/src/**/crypto/**","backend/src/test/**/crypto/**"]	[]	[]	7
8	feat/security-auth	chore/foundation merged	["backend/src/**/admin/**","backend/src/test/**/admin/**","backend/build.gradle.kts","scripts/plan-evidence-contract.tsv"]	[]	[]	9
9	feat/security-auth	chore/foundation merged	["backend/src/**/security/**","backend/src/**/session/**","backend/src/test/**/security/**","backend/src/test/**/session/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::## 10. 보안, 개인정보, 남용 방어"]	[]	8
10	feat/security-auth	chore/foundation merged	["backend/src/**/auth/**","backend/src/test/**/auth/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 7.1 API 공통 규칙"]	[]	10
11	feat/security-auth	chore/foundation merged	["frontend/src/features/auth/**","frontend/src/routes/LoginRoute.tsx","frontend/src/routes/AdminRouteGuard.tsx","frontend/e2e/admin-auth.spec.ts"]	[]	[{"path":"frontend/src/routes/AppRouter.tsx","start_marker":"// TODO11_AUTH_ROUTES_START","end_marker":"// TODO11_AUTH_ROUTES_END"}]	11
12	feat/security-auth	chore/foundation merged	["frontend/src/api/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 7.4 공개 서명 API"]	[]	12
13	feat/board-domain	feat/security-auth merged	["backend/src/**/board/**","backend/src/test/**/board/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 6.2 주요 테이블","docs/plan/IMPLEMENTATION_PLAN.md::### 7.3 관리자 보드 API"]	[]	13
14	feat/board-domain	feat/security-auth merged	["backend/src/**/roster/**","backend/src/test/**/roster/**","backend/build.gradle.kts","frontend/src/features/boards/roster/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 5.5 명단 가져오기"]	[]	14
15	feat/board-domain	feat/security-auth merged	["backend/src/**/slot/**","backend/src/test/**/slot/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 5.3 캔버스와 슬롯"]	[]	15
16	feat/board-domain	feat/security-auth merged	["backend/src/**/board/**","backend/src/test/**/board/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 7.3 관리자 보드 API","docs/plan/IMPLEMENTATION_PLAN.md::### 단계 3: 보드·명단·레이아웃"]	[]	16
17	feat/admin-editor	feat/board-domain merged	["frontend/src/features/boards/list/**","frontend/src/features/boards/editor/**","frontend/src/features/boards/share/**","frontend/src/features/boards/operations/**","frontend/e2e/admin-board-editor.spec.ts"]	[]	[{"path":"frontend/src/routes/AppRouter.tsx","start_marker":"// TODO17_ADMIN_BOARD_ROUTES_START","end_marker":"// TODO17_ADMIN_BOARD_ROUTES_END"}]	17
18	feat/admin-editor	feat/board-domain merged	["frontend/src/features/boards/canvas/**","frontend/src/features/boards/editor/**","frontend/package.json","frontend/package-lock.json","frontend/e2e/slot-editor.spec.ts"]	[]	[]	18
19	feat/signing-core	feat/admin-editor merged	["backend/src/**/background/**","backend/src/**/storage/**","backend/src/test/**/background/**","backend/src/test/**/storage/**","frontend/src/features/boards/editor/BackgroundPanel.tsx","frontend/src/features/boards/editor/BackgroundPanel.test.tsx"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 9.1 배경 업로드","docs/plan/IMPLEMENTATION_PLAN.md::<!-- NARAE_TODO19_BACKGROUND_ADOPTION_START -->..<!-- NARAE_TODO19_BACKGROUND_ADOPTION_END -->"]	[]	19
20	feat/signing-core	feat/admin-editor merged	["backend/src/**/signing/**","backend/src/test/**/signing/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 7.4 공개 서명 API"]	[]	20
21	feat/signing-core	feat/admin-editor merged	["frontend/src/features/signing/SignaturePad*","frontend/src/features/signing/**/geometry*","frontend/e2e/signature-pad.spec.ts"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 5.4 서명 획 처리"]	[]	21
22	feat/signing-core	feat/admin-editor merged	["backend/src/**/signing/**","backend/src/test/**/signing/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 9.2 최종 PNG 렌더링"]	[]	22
23	feat/realtime-fullview	feat/signing-core merged	["backend/src/**/realtime/**","frontend/src/features/boards/realtime/**","frontend/src/features/boards/full/**","frontend/e2e/manager-sse.spec.ts"]	[]	[{"path":"frontend/src/routes/AppRouter.tsx","start_marker":"// TODO23_FULL_VIEW_ROUTE_START","end_marker":"// TODO23_FULL_VIEW_ROUTE_END"}]	23
24	feat/public-signer-ui	all Wave 5A branches merged, including Todo 23	["frontend/src/features/signing/**","frontend/src/routes/SignRoute*","frontend/e2e/public-signing.spec.ts"]	[]	[{"path":"frontend/src/routes/AppRouter.tsx","start_marker":"// TODO24_PUBLIC_SIGN_ROUTE_START","end_marker":"// TODO24_PUBLIC_SIGN_ROUTE_END"}]	24
25	feat/render-deletion	feat/signing-core merged; feat/admin-editor is already integrated	["backend/src/**/render/**","backend/src/test/**/render/**","frontend/src/features/boards/editor/BoardToolbar.tsx","frontend/src/features/boards/editor/BoardToolbar.test.tsx","frontend/e2e/final-png.spec.ts"]	[]	[]	25
26	feat/render-deletion	feat/signing-core merged; feat/admin-editor is already integrated	["backend/src/**/deletion/**","backend/src/test/**/deletion/**","frontend/src/features/boards/editor/BoardToolbar.tsx","frontend/src/features/boards/editor/BoardToolbar.test.tsx","frontend/e2e/board-delete.spec.ts"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 8.3 삭제"]	[]	26
27	ci/delivery	chore/foundation merged; delay integration until the other Wave 5A branches complete	[".github/workflows/release.yml",".github/workflows/release-preflight.yml",".github/workflows/recovery-clearance.yml","infra/portainer/**","infra/nginx/**","scripts/release/**"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 12.1 GitHub Actions"]	[]	27
28	ci/delivery	chore/foundation merged; delay integration until the other Wave 5A branches complete	["infra/portainer/**","infra/nginx/**","scripts/release/**","docs/qa/MVP_TABLET_RELEASE_CHECKLIST.md","docs/REVERSE_PROXY_SETUP_GUIDE.md"]	["docs/plan/IMPLEMENTATION_PLAN.md::### 12.2 마이그레이션과 롤백"]	[]	28
